case,repeat,operations,ms,allocations,allocated_bytes,peak_live_bytes
allocator-control,0,1,0.000500,2,192,192
scene-evaluate,0,100000,25.805700,100000,28800000,288
scene-validate,0,100000,4.232900,0,0,0
cache-hash-only,0,27,181.156300,0,0,0
cache-parse-retained,0,27,231.695900,455,207423624,207411160
cache-slab-lower-bound,0,27,224.967300,28,207396920,207396920
cache-load-retained,0,27,507.905300,757,578870452,235149356
earth_albedo.png,0,1,65.051200,18,77403499,66217619
earth_clouds.png,0,1,79.508300,18,80050222,68864342
earth_normal.png,0,1,12.002800,17,17992784,15195576
allocator-control,1,1,0.001200,2,192,192
scene-evaluate,1,100000,27.035200,100000,28800000,288
scene-validate,1,100000,4.241400,0,0,0
cache-hash-only,1,27,180.913700,0,0,0
cache-parse-retained,1,27,230.866700,455,207423624,207411160
cache-slab-lower-bound,1,27,225.845500,28,207396920,207396920
cache-load-retained,1,27,504.353700,757,578870452,235149356
earth_albedo.png,1,1,62.359300,18,77403499,66217619
earth_clouds.png,1,1,75.047700,18,80050222,68864342
earth_normal.png,1,1,11.558300,17,17992784,15195576
allocator-control,2,1,0.000900,2,192,192
scene-evaluate,2,100000,25.834700,100000,28800000,288
scene-validate,2,100000,4.223800,0,0,0
cache-hash-only,2,27,181.097300,0,0,0
cache-parse-retained,2,27,230.315900,455,207423624,207411160
cache-slab-lower-bound,2,27,228.832300,28,207396920,207396920
cache-load-retained,2,27,511.271600,757,578870452,235149356
earth_albedo.png,2,1,63.491700,18,77403499,66217619
earth_clouds.png,2,1,77.170100,18,80050222,68864342
earth_normal.png,2,1,12.058400,17,17992784,15195576
