case,repeat,operations,ms,allocations,allocated_bytes,peak_live_bytes
allocator-control,0,1,0.000600,2,192,192
scene-evaluate,0,100000,45.591000,100000,28800000,288
scene-validate,0,100000,22.884200,0,0,0
cache-hash-only,0,27,180.984900,0,0,0
cache-parse-retained,0,27,226.926400,508,207435007,207414271
cache-slab-lower-bound,0,27,226.606300,28,207397934,207397934
cache-load-retained,0,27,498.702100,650,578867793,235152009
earth_albedo.png,0,1,63.223000,18,77403662,66217736
earth_clouds.png,0,1,77.355300,18,80050385,68864459
earth_normal.png,0,1,11.905900,17,17992908,15195693
allocator-control,1,1,0.000700,2,192,192
scene-evaluate,1,100000,44.918800,100000,28800000,288
scene-validate,1,100000,22.896800,0,0,0
cache-hash-only,1,27,180.914700,0,0,0
cache-parse-retained,1,27,236.472300,508,207435007,207414271
cache-slab-lower-bound,1,27,222.382300,28,207397934,207397934
cache-load-retained,1,27,501.452100,650,578867793,235152009
earth_albedo.png,1,1,66.283800,18,77403662,66217736
earth_clouds.png,1,1,79.564400,18,80050385,68864459
earth_normal.png,1,1,11.856400,17,17992908,15195693
allocator-control,2,1,0.000700,2,192,192
scene-evaluate,2,100000,46.149200,100000,28800000,288
scene-validate,2,100000,23.124600,0,0,0
cache-hash-only,2,27,181.103300,0,0,0
cache-parse-retained,2,27,227.014600,508,207435007,207414271
cache-slab-lower-bound,2,27,221.581300,28,207397934,207397934
cache-load-retained,2,27,502.417200,650,578867793,235152009
earth_albedo.png,2,1,63.176100,18,77403662,66217736
earth_clouds.png,2,1,76.233800,18,80050385,68864459
earth_normal.png,2,1,11.551100,17,17992908,15195693
